City,Lat,Long,Total_Revenue,Population,Revenue_per_capita,Population_Fbi,Violent_Crime,Murder,Rape,Robbery,Agg_Assault,Property_Crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson,,,,,,,,,,,,,,,,,,,,,
Adelanto,34.5868,-117.4411,"14,565,863","33,497",435,"33,479",276,1,28,48,199,560,241,218,101,15,,,,,,,,,,,,,,,,,,,,,
Agoura Hills,34.151,-118.7608,"28,100,766","21,211","1,325","21,032",15,0,2,3,10,253,83,150,20,0,,,,,,,,,,,,,,,,,,,,,
Alameda,37.767,-122.2673,"215,187,532","79,277","2,714","79,597",151,1,8,68,74,"2,020",226,"1,351",443,29,,,,,,,,,,,,,,,,,,,,,
Albany,37.8898,-122.3018,"35,120,955","18,893","1,859","19,975",29,0,0,24,5,533,62,426,45,3,,,,,,,,,,,,,,,,,,,,,
Alhambra,34.084,-118.1355,"115,993,675","86,782","1,337","86,035",146,0,9,73,64,"2,107",422,"1,447",238,4,,,,,,,,,,,,,,,,,,,,,
Aliso Viejo,33.5792,-117.729,"20,608,025","50,509",408,"50,604",29,0,4,5,20,411,61,323,27,0,,,,,,,,,,,,,,,,,,,,,
Alturas,41.4911,-120.5491,"5,761,271","2,684","2,147","2,549",22,0,5,1,16,116,34,74,8,0,,,,,,,,,,,,,,,,,,,,,
American Canyon,38.1798,-122.2583,"39,553,539","20,374","1,941","20,746",68,0,7,15,46,409,58,295,56,2,,,,,,,,,,,,,,,,,,,,,
Anaheim,33.839,-117.8572,"1,177,907,888","358,136","3,289","353,504","1,209",7,123,390,689,"9,617","1,469","6,764","1,384",33,,,,,,,,,,,,,,,,,,,,,
Anderson,40.4509,-122.2961,"13,138,675","10,485","1,253","10,273",92,2,8,6,76,452,51,315,86,7,,,,,,,,,,,,,,,,,,,,,
Angels ,38.0683,-120.5396,"7,653,993","4,045","1,892","3,755",9,0,2,0,7,37,8,23,6,0,,,,,,,,,,,,,,,,,,,,,
Antioch,37.9789,-121.7958,"102,456,004","112,968",907,"112,090",760,9,55,293,403,"3,690",762,"2,012",916,56,,,,,,,,,,,,,,,,,,,,,
Apple Valley,34.5329,-117.2102,"70,259,057","74,656",941,"72,757",314,4,26,74,210,"1,735",417,"1,064",254,17,,,,,,,,,,,,,,,,,,,,,
Arcadia,34.1342,-118.0373,"87,719,309","57,050","1,538","58,816",83,2,4,44,33,"1,642",520,"1,045",77,5,,,,,,,,,,,,,,,,,,,,,
Arcata,40.862,-124.0754,"37,904,466","18,169","2,086","17,913",82,0,6,22,54,667,129,461,77,6,,,,,,,,,,,,,,,,,,,,,
Arroyo Grande,35.1243,-120.5849,"24,781,267","17,731","1,398","18,280",35,0,6,9,20,334,53,262,19,3,,,,,,,,,,,,,,,,,,,,,
Artesia,33.8676,-118.0806,"11,856,680","16,883",702,"17,049",89,2,1,30,56,622,198,350,74,1,,,,,,,,,,,,,,,,,,,,,
Arvin,35.1944,-118.8306,"9,581,719","20,978",457,"21,195",191,2,3,17,169,634,170,279,185,18,,,,,,,,,,,,,,,,,,,,,
Atascadero,35.4827,-120.6858,"28,754,731","30,879",931,"30,108",83,1,11,7,64,501,109,345,47,6,,,,,,,,,,,,,,,,,,,,,
Atherton,37.4539,-122.2032,"19,983,004","7,150","2,795","7,218",3,0,1,1,1,104,14,84,6,0,,,,,,,,,,,,,,,,,,,,,
Atwater,37.3543,-120.5981,"35,413,064","30,061","1,178","29,437",203,1,8,27,167,"1,006",190,670,146,16,,,,,,,,,,,,,,,,,,,,,
Auburn,38.8948,-121.0778,"20,056,077","14,070","1,425","14,078",67,1,5,6,55,305,64,199,42,2,,,,,,,,,,,,,,,,,,,,,
Avalon,33.3338,-118.3317,"23,042,807","3,678","6,265","3,813",10,0,2,0,8,37,2,34,1,0,,,,,,,,,,,,,,,,,,,,,
Avenal,36.0312,-120.116,"14,546,288","12,373","1,176","12,941",32,3,5,3,21,176,86,72,18,1,,,,,,,,,,,,,,,,,,,,,
Azusa,34.1386,-117.9124,"116,728,161","49,485","2,359","50,393",175,1,18,46,110,"1,139",261,695,183,6,,,,,,,,,,,,,,,,,,,,,
Bakersfield,35.3528,-119.0354,"492,445,981","379,110","1,299","378,788","1,821",32,67,614,"1,108","17,138","3,887","10,203","3,048",332,,,,,,,,,,,,,,,,,,,,,
Baldwin Park,34.0829,-117.972,"44,375,132","74,738",594,"77,400",291,5,31,73,182,"1,514",356,818,340,8,,,,,,,,,,,,,,,,,,,,,
Banning,33.946,-116.8992,"54,368,891","30,834","1,763","31,191",148,3,13,34,98,676,234,279,163,0,,,,,,,,,,,,,,,,,,,,,
Barstow,34.8655,-117.0464,"34,050,847","24,360","1,398","23,894",361,3,24,106,228,"1,136",455,465,216,16,,,,,,,,,,,,,,,,,,,,,
Beaumont,33.9052,-116.976,"42,397,643","45,118",940,"45,249",144,0,15,29,100,"1,059",190,696,173,0,,,,,,,,,,,,,,,,,,,,,
Bell,33.9801,-118.1798,"27,897,913","36,716",760,"36,347",233,5,11,57,160,782,212,414,156,0,,,,,,,,,,,,,,,,,,,,,
Bell Gardens,33.9663,-118.155,"36,894,135","42,952",859,"43,316",155,3,7,64,81,942,103,510,329,4,,,,,,,,,,,,,,,,,,,,,
Bellflower,33.888,-118.1271,"47,073,522","76,363",616,"78,806",392,4,31,160,197,"1,990",453,"1,047",490,13,,,,,,,,,,,,,,,,,,,,,
Belmont,37.5154,-122.2955,"70,116,357","27,834","2,519","27,492",31,0,8,5,18,377,86,266,25,6,,,,,,,,,,,,,,,,,,,,,
Belvedere,37.8735,-122.4662,"7,222,970","2,162","3,341","2,131",1,0,0,0,1,21,5,16,0,0,,,,,,,,,,,,,,,,,,,,,
Benicia,38.0704,-122.1542,"62,227,307","27,501","2,263","28,400",19,0,4,8,7,540,141,299,100,2,,,,,,,,,,,,,,,,,,,,,
Berkeley,37.8723,-122.276,"400,105,232","119,915","3,337","122,651",602,2,54,361,185,"5,420",805,"3,965",650,24,,,,,,,,,,,,,,,,,,,,,
Beverly Hills,34.0786,-118.4021,"334,544,323","34,763","9,624","35,018",106,0,14,49,43,"1,416",306,"1,037",73,4,,,,,,,,,,,,,,,,,,,,,
Big Bear Lake,34.243,-116.8955,"35,977,958","4,905","7,335","5,250",33,1,5,3,24,195,52,127,16,2,,,,,,,,,,,,,,,,,,,,,
Biggs,39.4133,-121.7102,"6,117,534","1,899","3,221","1,703",16,0,2,0,14,29,9,16,4,0,,,,,,,,,,,,,,,,,,,,,
Bishop,37.3665,-118.3958,"9,548,325","3,971","2,405","3,793",29,1,1,5,22,156,31,114,11,0,,,,,,,,,,,,,,,,,,,,,
Blythe,33.6219,-114.6177,"24,759,096","19,813","1,250","18,961",78,1,4,20,53,684,246,413,25,21,,,,,,,,,,,,,,,,,,,,,
Bradbury,34.1535,-117.9684,"2,340,336","1,123","2,084","1,097",0,0,0,0,0,6,4,2,0,0,,,,,,,,,,,,,,,,,,,,,
Brawley,32.9787,-115.53,"29,796,828","26,566","1,122","26,076",125,0,4,11,110,941,170,692,79,18,,,,,,,,,,,,,,,,,,,,,
Brea,33.9255,-117.8654,"92,773,736","43,710","2,122","42,465",92,0,6,29,57,"1,431",188,"1,169",74,6,,,,,,,,,,,,,,,,,,,,,
Brentwood,37.9356,-121.719,"137,150,828","58,784","2,333","60,512",130,0,17,50,63,"1,285",146,980,159,6,,,,,,,,,,,,,,,,,,,,,
